CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
Categorical data example	2018		<a href='http://en.wikipedia.org/wiki/List_of_countries_by_spoken_languages'>Wikipedia</a>							categoricaldataexample																																																																																																																																																																																																																																														
		Binary (yes/no) example				0=[0x5DAF5A][Yes] 1=[0xE61A1C][No]				5	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1																	
		Distribution of languages (official or first language)		This map show the distribution of the ten languages with the largest estimated number of speakers. Countries are only colored if the language is either an official language or the first language. Note that many countries have more than one official language, and the language indicated may not be the one which is most widely spoken in that country. Japanese is amongst the top ten languages in terms of speakers but was not included on the map. It is an official language only in Japan.		0=[0x599EB9][Arabic] 1=[0xE61A1C][Bengali] 2=[0x6DAF6A][English] 3=[0x333333][German] 4=[0x0077cc][French] 5=[0x996EA5][Hindi] 6=[0xFF9F00][Mandarin] 7=[0xFFFF55][Portuguese] 8=[0xA87829][Russian] 9=[0xF991BF][Spanish]  				6			0		7			9			2	3			0	1		8	4	2	4	2		9		2	7	2			4	4		4	2	7	2	4	0	9	6	9	0	4	2	9	4		9				4		0	2	9	9	0	9	9	0			2		4	4	2		3	2	2		2	9	4	7	2	4		9	2			5			0	2	0		2		0	8	2	2	0	8			0	2	2	0	3		4		4	2			4	2	2	0	2	9	2	4			2	0	7		2				2	2	9	4	2			0	2		0	9	2	9	9	2		7	0				8	4	2	2	2	2		7	0	4		4	2	2				0	2	9		0		2		3	0				7	4	2	2	2	0			2	2	2		0	2	2	2	9		4	9		0	2	2	4	0	6				9	2	2	2	2		2																	
		Arabic speaking countries				0=[0x488EB8][Arabic]				7			0												0																								0				0												0				0			0																											0		0				0				0				0			0												0								0														0			0								0												0									0				0					0									0							0									0				0																												
		Bengali speaking countries				0=[0xE51A1C][Bengali]				8																0																																																																																																																																																																																																																														
		English speaking countries				0=[0x5DAF5A][English]				9											0									0		0				0		0							0		0								0											0									0				0			0	0		0				0				0							0			0				0	0						0	0							0				0	0		0		0				0				0				0	0			0				0				0			0									0	0	0	0						0	0	0					0					0									0	0	0				0	0	0			0	0	0							0	0								0	0	0	0		0																	
		Germany speaking countries				0=[0x333333][German]				10												0																																																											0																																				0		0																																																																							0																																																										
		French speaking countries				0=[0x0066cc][French]				11																			0		0										0	0		0	0			0	0				0	0			0						0		0						0						0	0									0			0																													0		0				0							0														0																				0								0		0														0						0																	0						0																													
		Hindi speaking countries				0=[0x985EA4][Hindi]				12																																																																																						0																																																																																																																																																								
		Mandarin speaking countries				0=[0xFF8F00][Mandarin]				13																																									0																																																																																																																																																																										0																											
