CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
Non-Latin text example	2017									nonlatintextexample																																																																																																																																																																																																																																														
		እንኳን ደህና መጣህ።								24	92		97					8			59																90								2						50										13	92	40					46	2	44							28	45	37	72																																																																																																																																																																								
		 أهلاً و سهلاً								25	11		82					39			13																33								30						39										4	25	9					94	2	66							97	32	71	59																																																																																																																																																																								
		Բարի գալուստ								26	67		69					76			53																45								72						74										91	2	57					42	17	34							77	83	64	87																																																																																																																																																																								
		Բարի՜ եկաք								27	9		17					52			19																6								20						8										7	54	54					87	19	44							44	10	9	82																																																																																																																																																																								
		স্বাগতম								28	36		88					17			93																43								87						3										1	61	41					36	95	64							29	97	43	65																																																																																																																																																																								
		आईं ना								29	45		31					80			14																17								63						15										11	97	20					66	49	37							42	9	15	44																																																																																																																																																																								
		Добре дошъл								30	100		71					4			19																31								69						42										53	82	93					39	94	36							39	39	44	15																																																																																																																																																																								
		ᎤᎵᎮᎵᏍᏗ								31	1		66					5			10																64								48						42										42	84	33					32	44	28							32	4	87	96																																																																																																																																																																								
		歡迎 								32	71		21					84			26																34								78						94										57	65	16					84	83	27							87	29	59	21																																																																																																																																																																								
		 歡迎光臨 								33	96		99					90			8																81								20						76										86	18	91					28	38	90							23	54	15	81																																																																																																																																																																								
		欢迎 								34	39		57					11			4																61								53						19										63	52	98					57	23	72							55	50	6	49																																																																																																																																																																								
		歡迎光臨 								35	26		22					6			1																9								70						47										45	68	84					94	89	62							21	48	93	68																																																																																																																																																																								
		კეთილი იყოს თქვენი								36	1		68					39			18																13								60						37										57	51	56					95	44	87							56	63	7	75																																																																																																																																																																								
		Καλώς Ορίσατε 								37	68		36					38			68																61								82						44										99	39	75					18	59	36							16	86	33	83																																																																																																																																																																								
		પધારો								38	78		83					19			90																76								22						24										55	59	44					89	89	60							67	91	64	20																																																																																																																																																																								
		सवागत हैं								39	52		87					55			25																84								6						77										45	74	26					97	31	38							98	38	75	34																																																																																																																																																																								
		 ᑐᙵᓱ								40	19		29					43			53																61								55						73										23	26	65					82	26	50							51	22	72	21																																																																																																																																																																								
		ようこそ								41	67		87					17			44																29								61						84										21	68	4					38	73	75							76	60	74	64																																																																																																																																																																								
		ꦱꦸꦒꦼꦁꦫꦮꦸꦃ								42	92		25					29			30																5								11						16										57	68	14					89	27	87							74	67	52	84																																																																																																																																																																								
		ಸುಸ್ವಾಗತ 								43	79		98					50			97																23								16						15										31	82	54					58	87	66							13	90	33	67																																																																																																																																																																								
		សូម​ស្វាគមន៍								44	7		27					1			32																92								97						8										83	19	43					85	90	16							52	11	43	94																																																																																																																																																																								
